======================================================================================================================================================
                                                  REPORTE DE PRUEBA PARA PLATOS
======================================================================================================================================================
     CODIGO         DESCRIPCION                                            PRECIO         CATEGORIA                         DESCUENTO
     53764          PLATANO-HUEVO                                           6.90          ADICIONAL                          10.57
     11751          MAZAMORRA_MORADA                                        8.90          POSTRES                             0.00
     39695          SANGRIA                                                36.90          BEBIDAS                            19.63
     11731          ARROZ_CON_LECHE                                         8.90          POSTRES                             0.00
     53760          ARROZ                                                   6.90          ADICIONAL                          10.76
     39227          SPRITE1/2_LITRO                                         7.00          BEBIDAS                             0.00
     31796          ANTICUCHO_DE_CORAZON_AL_PLATO                          31.90          ESPECIALES                         19.94
     90758          BROCHETAS_DE_POLLO                                     25.90          ENTRADA                             7.08
     15197          1/2_POLLO_ARROCERO                                     47.50          BRASA                              11.82
     77572          ENSALADA_FRESCA_REGULAR                                18.90          ENSALADAS                           0.00
     53502          PORCION_DE_CAMOTE                                      15.90          ADICIONAL                          10.81
     15611          1/2_POLLO_PAPAS_ENSALADA                               46.90          BRASA                               0.00
     39199          LIMONADA_1_LITRO                                       10.50          BEBIDAS                             0.00
     15926          1/2_POLLO_BBQ/HOT_ARROCERO                             49.90          BRASA                               5.90
     39489          FANTA_1/2_LITRO                                         7.00          BEBIDAS                             0.00
     15592          1/4_POLLO_ANTICUCHO                                    33.90          BRASA                               0.00
     77493          ENSALADA_CESARS_MEDIANA_CON_POLLO                      23.90          ENSALADAS                          12.78
     15823          1/4_POLLO_BBQ/HOT_ENCAMOTADO                           36.90          BRASA                               0.00
     11611          TRES_LECHES                                            15.90          POSTRES                            15.19
     15945          1/2_POLLO_BBQ/HOT_PAPAS_ENSALADA                       48.90          BRASA                               0.00
     73410          ANTICUCHO-POLLO                                        12.90          ENTRADA                             0.00
     15539          PIQUEOS_MINI_POLLITOS_PANKO                            21.90          PIQUEO                             13.99
     39160          INKA_COLA_1_LITRO                                      15.50          BEBIDAS                            17.39
     15621          1/4_POLLO_BBQ/HOT_PAPAS_ENSALADA                       33.50          BRASA                              13.94
     31815          MOLLEJITAS_AL_PLATO                                    30.90          ESPECIALES                          0.00
     39864          INKA_COLA_1/2_LITRO                                     7.00          BEBIDAS                            10.52
     15760          1/4_POLLO_BBQ/HOT_ARROCERO                             34.50          BRASA                               0.00
     11471          1_BOLA_DE_HELADO                                        8.90          POSTRES                             0.00
     11172          TORTA_DE_NARANJA                                       15.90          POSTRES                             5.53
     39810          INTIPALKA_MALBEC                                       71.90          BEBIDAS                             0.00
     15745          1/2_POLLO_PARRILLERO_ORIGINAL-_ARROCERO                48.90          BRASA                              14.48
     39475          INTIPALKA_SYRAH                                        71.90          BEBIDAS                            18.66
     39903          CHICHA1/2_LITRO                                        10.50          BEBIDAS                            13.99
     53991          HUEVO                                                   3.90          ADICIONAL                           0.00
     53957          PAPAS_FRITAS_1/2_PORCION                               10.90          ADICIONAL                           0.00
     11171          TORTA_DE_CHOCOLATE                                     15.90          POSTRES                            19.42
     77762          ENSALADA_DELICIA_GRANDE_SOLO                           23.90          ENSALADAS                           0.00
     11850          BIFE_A_LA_PARRILLA                                     53.90          PARRILLA                            0.00
     77703          ENSALADA_SENSACION_GRANDE_SOLO                         24.90          ENSALADAS                           0.00
     53814          PALTA                                                   9.90          ADICIONAL                          10.91
     39987          FANTA_1_LITRO                                          15.50          BEBIDAS                             0.00
     11500          PARRILLA_PARA_CUATRO                                  128.90          PARRILLA                            0.00
     53546          CHOCLO                                                  9.90          ADICIONAL                           7.19
     15756          1/2_POLLO_A_LO_BRAVO                                   50.90          BRASA                               0.00
     15525          1/2_POLLO_ANTICUCHO                                    58.50          BRASA                              18.60
     53477          PAPAS_DORADAS                                          15.90          ADICIONAL                          13.60
     77971          ENSALADA_HONEY_MEDIANA_CON_POLLO                       23.90          ENSALADAS                           0.00
======================================================================================================================================================
                                                  REPORTE DE PRUEBA PARA REPARTIDORES
======================================================================================================================================================
  DNI             NOMBRE                                                      VEHICULO          CODIGO DISTRITO            NOMBRE DISTRITO
------------------------------------------------------------------------------------------------------------------------------------------------------
23889863          Arroyo Tomasiche Natalia                                    MOTOCICLETA            6223                  Miraflores                    
95482222          Asmad Chavez Adria                                          BICICLETA              8667                  Jesus Maria                   
29844212          Astete Chang Guida                                          BICICLETA              2958                  San Martin De Porres          
25186258          Avila Martel Jaime Manuel                                   MOTOCICLETA            3716                  La Molina                     
78894665          Bravo Cortes Janet Flor                                     BICICLETA              4504                  Santa Anita                   
24363330          Camacho Pairazaman Ydali Lucero                             MOTOCICLETA            7318                  La Victoria                   
32579168          Contreras Chang Johana Cinthia                              MOTOCICLETA            5926                  Chaclacayo                    
62397617          Cortes Cortez Raul Alex                                     MOTOCICLETA            8280                  Villa El Salvador             
12141513          Cueva Fuentes Cinthia Delia                                 MOTOCICLETA            1657                  Chorrillos                    
62800798          Del Castillo Annie Avila                                    BICICLETA              4439                  Magdalena Del Mar             
22237434          Diaz Moya Elia Annie                                        MOTOCICLETA            9443                  Santiago De Surco             
64102186          Diaz Tang Enrique                                           BICICLETA              7318                  La Victoria                   
14341844          Durand Miranda Miguel Juan                                  BICICLETA              9222                  Surquillo                     
97394359          Egusquiza Berrocal Doris Nancy                              MOTOCICLETA            8667                  Jesus Maria                   
76233255          Epiquen Avila Enrique                                       MOTOCICLETA            2220                  Cercado De Lima               
71914615          Escalante Rojas Ines Adria                                  BICICLETA              4803                  Carabayllo                    
89367567          Florencio Coronado Alonso                                   MOTOCICLETA            4504                  Santa Anita                   
34996654          Florian Valderrama Jose                                     MOTOCICLETA            9222                  Surquillo                     
52583286          Fuentes Gamarra Hugo                                        MOTOCICLETA            3053                  Ate Vitarte                   
96481826          Gonzales Gamarra Giovana Karina                             BICICLETA              3716                  La Molina                     
28777346          Hijar Lam Martin                                            MOTOCICLETA            8659                  Puente Piedra                 
20690760          Inga Palomares Erika                                        MOTOCICLETA            4439                  Magdalena Del Mar             
89839090          Iparraguirre Perez Nicolas                                  BICICLETA              8594                  Villa Maria Del Triunfo       
25516055          Jauregui Del Castillo Victor Ricardo                        MOTOCICLETA            5964                  Pueblo Libre                  
73953533          Justino Norabuena Virginia Karina                           BICICLETA              9713                  San Isidro                    
17083555          Leyva Landeo Nancy Sonia                                    BICICLETA              7040                  El Agustino                   
24542282          Lozada Arguedas Felicita Valentina                          MOTOCICLETA            4803                  Carabayllo                    
14994362          Lozada Forzani Delia                                        MOTOCICLETA            7752                  Los Olivos                    
88547910          Lozada Iberos Heli Blanca                                   BICICLETA              4826                  Santa Rosa                    
95324349          Luna Vargas Waldemar                                        MOTOCICLETA            4311                  Lince                         
21507828          Martinez Cruz Evert Rony                                    MOTOCICLETA            4328                  Brena                         
77459005          Mejia Rodriguez Ines Valentina                              BICICLETA              4328                  Brena                         
99751918          Mendoza Romero Virginia Ydali                               BICICLETA              9443                  Santiago De Surco             
80913411          Mercado Coronel Elia                                        MOTOCICLETA            6184                  Pachacamac                    
96407230          Moscoso Arias Fiorella                                      BICICLETA              6184                  Pachacamac                    
52397686          Narvaez Castillo Jesus Rafael                               MOTOCICLETA            6936                  San Luis                      
34795643          Pairazaman Raffo Tatiana Delicia                            BICICLETA              1439                  Comas                         
43679625          Patino Bolanos Delicia Virginia                             MOTOCICLETA            6092                  Punta Hermosa                 
82962199          Pena Suarez Glenda Margot                                   MOTOCICLETA            9713                  San Isidro                    
38893634          Pinto Rojas Juvenal Francisco                               BICICLETA              3562                  Rimac                         
35679675          Prado Vera Juan                                             MOTOCICLETA            5817                  San Miguel                    
24721987          Ramirez Astete Karina Estefania                             BICICLETA              6092                  Punta Hermosa                 
13037550          Rodriguez Moreno Blanca Ofelia                              BICICLETA              6223                  Miraflores                    
67377009          Rondon Cabrera Alexander Adolfo                             BICICLETA              7894                  San Juan De Lurigancho        
60685215          Sakaguchi Mori Carlos Ronal                                 MOTOCICLETA            1439                  Comas                         
88118517          Salamanca Cabrera Nestor Evert                              MOTOCICLETA            7894                  San Juan De Lurigancho        
96430314          Sam Yallico Ines                                            BICICLETA              8659                  Puente Piedra                 
84929617          Sanchez Del Castillo Fiorella Rosario                       MOTOCICLETA            7093                  Independencia                 
96708707          Sinche Rivero Yvonne Silvana                                BICICLETA              2765                  San Juan De Miraflores        
53469476          Solis Chung Rolando                                         BICICLETA              5817                  San Miguel                    
25921814          Solis Narvaez Maria Madeleine                               BICICLETA              7752                  Los Olivos                    
78587625          Suarez Chang Gloria                                         MOTOCICLETA            2958                  San Martin De Porres          
33479141          Trigueros Jugo Luz                                          BICICLETA              5964                  Pueblo Libre                  
93026806          Trigueros Portugal Arturo Fausto                            BICICLETA              3691                  San Borja                     
32708645          Valverde Maeireizo Melvin Jair                              BICICLETA              5926                  Chaclacayo                    
88923038          Vega Soria Henrry                                           MOTOCICLETA            2765                  San Juan De Miraflores        
54805724          Vizcardo Sinche Maribel                                     MOTOCICLETA            4826                  Santa Rosa                    
85167262          Vizcarra Montero Jair                                       MOTOCICLETA            8594                  Villa Maria Del Triunfo       
77697252          Zarate Perez Alexander                                      BICICLETA              6936                  San Luis                      
60437425          Zegarra Pena Carmela                                        MOTOCICLETA            7040                  El Agustino                   
