                                                                                                    EMPRESA DE REPARTOS A DOMICILIO TP S. A.
                                                                                                         ENTREGAS POR REPARTIDORES
===========================================================================================================================================================================================================================================
                                                                                                                            TOTAL DE         MONTO TOTAL          DESCUENTO         DESCUENTOS            PAGO AL              TOTAL
DNI          NOMBRE                                       VEHICULO                 DISTRITO                                  PLATOS          POR PLATOS          POR PLATOS        POR CLIENTES          REPARTIDOR           INGRESADO
14341844     Durand Miranda Miguel Juan                   BICICLETA                Surquillo                                 138             4831.20              405.61                0.00              241.56             4184.03
97394359     Egusquiza Berrocal Doris Nancy               MOTOCICLETA              Jesus Maria                               213             5628.60              331.58                0.00              562.86             4734.16
76233255     Epiquen Avila Enrique                        MOTOCICLETA              Cercado De Lima                           204             5881.80              369.43              714.72              588.18             4209.47
71914615     Escalante Rojas Ines Adria                   BICICLETA                Carabayllo                                  0                0.00                0.00                0.00                0.00                0.00
89367567     Florencio Coronado Alonso                    MOTOCICLETA              Santa Anita                                15              461.70                0.00               70.41               46.17              345.12
34996654     Florian Valderrama Jose                      MOTOCICLETA              Surquillo                                 122             4552.80              404.90              752.73              455.28             2939.89
52583286     Fuentes Gamarra Hugo                         MOTOCICLETA              Ate Vitarte                               254             8062.90              697.94              150.43              806.29             6408.24
96481826     Gonzales Gamarra Giovana Karina              BICICLETA                La Molina                                 167             4129.20              351.71              684.06              206.46             2886.97
28777346     Hijar Lam Martin                             MOTOCICLETA              Puente Piedra                               0                0.00                0.00                0.00                0.00                0.00
20690760     Inga Palomares Erika                         MOTOCICLETA              Magdalena Del Mar                         209             6051.50              445.78              330.20              605.15             4670.38
89839090     Iparraguirre Perez Nicolas                   BICICLETA                Villa Maria Del Triunfo                   120             3252.20              259.11                0.00              162.61             2830.48
25516055     Jauregui Del Castillo Victor Ricardo         MOTOCICLETA              Pueblo Libre                              427            14672.50             1167.72             1272.40             1467.25            10765.13
73953533     Justino Norabuena Virginia Karina            BICICLETA                San Isidro                                  0                0.00                0.00                0.00                0.00                0.00
17083555     Leyva Landeo Nancy Sonia                     BICICLETA                El Agustino                               238             7172.20              480.32              127.19              358.61             6206.09
24542282     Lozada Arguedas Felicita Valentina           MOTOCICLETA              Carabayllo                                  0                0.00                0.00                0.00                0.00                0.00
14994362     Lozada Forzani Delia                         MOTOCICLETA              Los Olivos                                 77             2212.50              108.19              440.51              221.25             1442.55
88547910     Lozada Iberos Heli Blanca                    BICICLETA                Santa Rosa                                 91             3285.90              247.96                0.00              164.30             2873.65
95324349     Luna Vargas Waldemar                         MOTOCICLETA              Lince                                       0                0.00                0.00                0.00                0.00                0.00
21507828     Martinez Cruz Evert Rony                     MOTOCICLETA              Brena                                     323             9597.20              666.67              622.88              959.72             7347.93
77459005     Mejia Rodriguez Ines Valentina               BICICLETA                Brena                                     110             3620.20              324.00              485.08              181.01             2630.11
99751918     Mendoza Romero Virginia Ydali                BICICLETA                Santiago De Surco                         208             5783.00              511.66              536.43              289.15             4445.76
80913411     Mercado Coronel Elia                         MOTOCICLETA              Pachacamac                                  0                0.00                0.00                0.00                0.00                0.00
96407230     Moscoso Arias Fiorella                       BICICLETA                Pachacamac                                  0                0.00                0.00                0.00                0.00                0.00
52397686     Narvaez Castillo Jesus Rafael                MOTOCICLETA              San Luis                                    0                0.00                0.00                0.00                0.00                0.00
34795643     Pairazaman Raffo Tatiana Delicia             BICICLETA                Comas                                     130             3037.70              177.04               71.34              151.88             2637.44
43679625     Patino Bolanos Delicia Virginia              MOTOCICLETA              Punta Hermosa                               0                0.00                0.00                0.00                0.00                0.00
82962199     Pena Suarez Glenda Margot                    MOTOCICLETA              San Isidro                                  0                0.00                0.00                0.00                0.00                0.00
38893634     Pinto Rojas Juvenal Francisco                BICICLETA                Rimac                                     638            18749.90             1350.20             2306.60              937.50            14155.60
35679675     Prado Vera Juan                              MOTOCICLETA              San Miguel                                 21              381.50               24.61                0.00               38.15              318.74
24721987     Ramirez Astete Karina Estefania              BICICLETA                Punta Hermosa                               0                0.00                0.00                0.00                0.00                0.00
13037550     Rodriguez Moreno Blanca Ofelia               BICICLETA                Miraflores                                  0                0.00                0.00                0.00                0.00                0.00
67377009     Rondon Cabrera Alexander Adolfo              BICICLETA                San Juan De Lurigancho                    312             9652.90              859.80              803.35              482.64             7507.10
60685215     Sakaguchi Mori Carlos Ronal                  MOTOCICLETA              Comas                                       0                0.00                0.00                0.00                0.00                0.00
88118517     Salamanca Cabrera Nestor Evert               MOTOCICLETA              San Juan De Lurigancho                    145             3926.40              290.52              692.75              392.64             2550.48
96430314     Sam Yallico Ines                             BICICLETA                Puente Piedra                               0                0.00                0.00                0.00                0.00                0.00
84929617     Sanchez Del Castillo Fiorella Rosario        MOTOCICLETA              Independencia                             156             4246.60              343.87              355.41              424.66             3122.66
96708707     Sinche Rivero Yvonne Silvana                 BICICLETA                San Juan De Miraflores                      0                0.00                0.00                0.00                0.00                0.00
53469476     Solis Chung Rolando                          BICICLETA                San Miguel                                  0                0.00                0.00                0.00                0.00                0.00
25921814     Solis Narvaez Maria Madeleine                BICICLETA                Los Olivos                                270             7452.50              575.40             1417.38              372.62             5087.09
78587625     Suarez Chang Gloria                          MOTOCICLETA              San Martin De Porres                      308             9392.80              801.98              822.67              939.28             6828.87
33479141     Trigueros Jugo Luz                           BICICLETA                Pueblo Libre                              435            12660.30              868.04                0.00              633.01            11159.24
93026806     Trigueros Portugal Arturo Fausto             BICICLETA                San Borja                                 395            10474.50              627.41             1789.17              523.73             7534.19
32708645     Valverde Maeireizo Melvin Jair               BICICLETA                Chaclacayo                                  0                0.00                0.00                0.00                0.00                0.00
88923038     Vega Soria Henrry                            MOTOCICLETA              San Juan De Miraflores                      0                0.00                0.00                0.00                0.00                0.00
54805724     Vizcardo Sinche Maribel                      MOTOCICLETA              Santa Rosa                                108             3957.40              361.29              409.59              395.74             2790.78
85167262     Vizcarra Montero Jair                        MOTOCICLETA              Villa Maria Del Triunfo                   185             5014.70              461.56              731.72              501.47             3319.95
77697252     Zarate Perez Alexander                       BICICLETA                San Luis                                  120             2771.30               81.58              299.30              138.56             2251.85
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
TOTALES OBTENIDOS:                                                                                                          8023           237670.80            18273.02            19086.45            17852.21           182459.12
===========================================================================================================================================================================================================================================
